"","Fraud","Avg_amount_merch_1","Amount","Card_freq_7","Card_freq_14","Card_freq_3","Avg_amount_merch_30","Card_freq_1","Median_amount_merch_30","Avg_amount_merch_14","Merchant_freq_3","Card_freq_30","Avg_amount_merch_7","Merchant_freq_1","Total_amount_card_1","Merchant_freq_7","Median_amount_merch_14","Median_amount_card_30","Merchant_freq_14","Max_amount_card_1","Median_amount_merch_7"
"49631","No",-0.00393531881082511,-0.293618842132008,-0.302700757159435,-0.224858629846006,-0.291239879906221,-0.309980857557547,-0.362223788126516,-0.230255586327505,-0.490603361838562,-0.338489414046329,-0.10087171279281,-0.429061305811132,-0.372530992847505,0.996604915746291,-0.379879636984739,-0.295803247470988,-0.142016885284709,-0.397362757754008,0.643273987832778,-0.26049019992938
"65407","No",-0.116025236459154,-0.26573188832434,-0.302700757159435,-0.267866021904146,-0.439132477399888,-0.50078064373566,-0.362223788126516,-0.295179297584815,0.201291907783203,-0.427687170043236,-0.3440766483437,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.126394558366617,-0.105222103057556,-0.418255370042567,0.643273987832778,-0.166039470250535
"26782","No",-0.174835469441173,-0.422869960694511,1.06762092306331,0.936340955723792,1.48347129001778,-0.454059673080392,1.88011543050088,-0.235628008510311,-0.513861518907472,1.85577538347758,0.65914371080372,-0.460705718738279,2.42821327865499,-1.45393788823991,1.55522414868247,-0.20455473670846,-0.136253015468839,1.75979946103965,-2.07753692380721,-0.166039470250535
"62241","No",-0.118803916850836,-0.277162516409462,-0.3534534119825,-0.439895590136709,-0.291239879906221,0.448946798163072,-0.268792987350375,0.0981334103187606,0.55814169683,-0.409847618843854,-0.435278499175284,0.542431714797998,-0.372530992847505,-0.279928763534399,-0.360720193562291,0.158223691282798,-0.13627941725658,-0.386916451609729,0.48995881191096,0.209470079978633
"18813","No",-0.0567798814650012,-0.413259416089611,-0.150442792690241,-0.138843845729724,-0.217293581159388,-0.692804753043186,-0.175362186574234,-0.39733208371426,-0.769746675479311,0.517809043523976,-0.252874797512116,-0.689724522158644,0.28831877908005,-1.43460145545938,0.338599491357045,-0.37571831941252,-0.153479710986522,0.568920560591819,-2.1274138450699,-0.341561755841085
"78636","No",-0.175763829209002,-0.422869960694511,0.610847029655729,0.893333563665651,0.596115705055781,-0.441981520507543,-0.362223788126516,-0.235628008510311,-0.472421434235909,2.31960371466149,0.689544327747581,-0.403702371928997,1.29532795535061,0.996604915746291,2.6568921454732,-0.201053219950312,-0.136253015468839,3.21183601509446,0.643273987832778,-0.162415073424483
"69165","No",0.400078782633498,1.0824020561149,-0.404206066805565,-0.310873413962287,-0.439132477399888,-0.114722428185425,-0.362223788126516,-0.238880850996743,-0.0980489971479996,-0.427687170043236,-0.10087171279281,-0.0654230484917658,-0.40400002960596,0.996604915746291,-0.427778245540858,-0.20455473670846,-0.133133410611113,-0.423478523114706,0.643273987832778,-0.166039470250535
"46499","No",-0.0563384583450665,-0.348422878273454,-0.0996901378671764,0.291230074851682,-0.291239879906221,-0.532436116933522,-0.268792987350375,-0.297173261583123,-0.521327007000365,-0.302810311647566,0.537541243028275,-0.517521781847162,-0.34106195608905,-0.591652815051381,-0.236183811316382,-0.244070406856766,-0.137740401807201,-0.177990328724145,-0.607959850587541,-0.196598326766592
"53364","No",-0.102626444577127,-0.270927628363032,0.357083755540406,0.11920050661912,0.744008302549449,-0.271494495445384,1.13266902429175,-0.238880850996743,-0.258081718176846,-0.142254350853134,-0.192073563624394,-0.211200808181533,0.0995045585293202,-1.37239178432429,-0.217024367893934,-0.20455473670846,-0.136253015468839,-0.298122849383356,-0.573800074838922,-0.166039470250535
"35664","No",-0.111936778954429,0.143597958723845,0.00181517177895304,-0.0528290616134431,-0.439132477399888,0.602041473932826,-0.362223788126516,0.474480706612246,0.98650444552637,-0.374168516445092,-0.192073563624394,0.9483318470987,-0.309592919330595,0.996604915746291,-0.33198102842862,0.927810403631165,-0.0728944398943879,-0.319015461671914,0.643273987832778,1.37405780762091
"81361","No",0.102833516300026,0.889769206947078,-0.3534534119825,-0.48290298219485,-0.365186178653055,0.388780009146792,-0.268792987350375,0.0796131237956064,1.4815841721108,-0.409847618843854,-0.435278499175284,1.2645274603213,-0.372530992847505,0.746182431006662,-0.399039080407186,0.636769615632735,-0.0867192166542278,-0.402585910826148,0.643273987832778,0.949089357418482
